AE;Code SANDRE de la station;Nom de la station;Réseaux de mesure;RCS;RCO;RRP;RCB/RCR;CoordX;CoordY;ECHELLESTA COMITER;Contexte piscicole;TYPEFR_CONSOLIDE;Code Masse d'eau;Type de station;AREA_KM2_ME
AERMC;06580653;SURAN A NEUVILLE-SUR-AIN 2;;NON;OUI;NON;;;;;;M5;FRDR2015;;
AERMC;06580653;SURAN A NEUVILLE-SUR-AIN 2;;NON;NON;NON;;;;;;M5;FRDR2015;;
AERMC;06580653;SURAN A NEUVILLE-SUR-AIN 2;;OUI;NON;NON;;;;;;M5;FRDR2015;;
AERMC;06580653;SURAN A NEUVILLE-SUR-AIN 2;;NON;NON;NON;;;;;;M5;FRDR2015;;
AERMC;06580653;SURAN A NEUVILLE-SUR-AIN 2;;NON;NON;NON;;;;;;M5;FRDR2015;;
AERMC;06580654;SURAN A DRUILLAT 2;;NON;NON;NON;;;;;;M5;FRDR2015;;
AERMC;06580655;RUISSEAU DE DURLET A DRUILLAT 1;;NON;NON;NON;;;;;;TP5;FRDR11474;;
AERMC;06580656;RUISSEAU DE DURLET A DRUILLAT 2;;NON;NON;NON;;;;;;TP5;FRDR11474;;
AERMC;06580658;MENOGE A HABERE-LULLIN ;;NON;NON;NON;;;;;;P5;FRDR558;;
AERMC;06580659;MENOGE A BURDIGNIN 2;;NON;NON;NON;;;;;;P5;FRDR558;;
AERMC;06580660;MENOGE A BURDIGNIN 1;;NON;NON;NON;;;;;;P5;FRDR558;;
AERMC;06580661;MENOGE A ST-ANDRE-DE-BOEGE 1;;NON;NON;NON;;;;;;P5;FRDR558;;
AERMC;06580662;MENOGE A ST-ANDRE-DE-BOEGE 2;;NON;NON;NON;;;;;;P5;FRDR558;;
AERMC;06580663;BREVON A BOEGE ;;NON;NON;NON;;;;;;TP5;FRDR11750;;
AERMC;06580664;BREVON A SAXEL ;;NON;NON;NON;;;;;;TP5;FRDR11750;;
AERMC;06580665;FORON DE FILLINGES A BOGEVE ;;NON;NON;NON;;;;;;TP5;FRDR12073;;
AERMC;06580666;FORON DE FILLINGES A VIUZ-EN-SALLAS ;;NON;NON;NON;;;;;;TP5;FRDR12073;;
AERMC;06580667;TURDINE A JOUX 2;;NON;NON;NON;;;;;;P3;FRDR570;;
AERMC;06580668;RUISSEAU DE MOUILLATOUX A LES-SAUVAGES 1;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580669;RUISSEAU DE MOUILLATOUX A LES-SAUVAGES 2;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580670;VERMARE A TARARE 1;;NON;NON;NON;;;;;;TP3;;;
